month,year,fuel,production,factory,type,fuel_unit,production_unit
1,2017,315.35,859763,MAK_cut,gas_oil,kilograms,kilograms
2,2017,265.12,761860,MAK_cut,gas_oil,kilograms,kilograms
3,2017,263.83,804405,MAK_cut,gas_oil,kilograms,kilograms
4,2017,271.92,767517,MAK_cut,gas_oil,kilograms,kilograms
5,2017,216.98,827754,MAK_cut,gas_oil,kilograms,kilograms
6,2017,109.17,677942,MAK_cut,gas_oil,kilograms,kilograms
7,2017,227.85,777096,MAK_cut,gas_oil,kilograms,kilograms
8,2017,165.53,697021,MAK_cut,gas_oil,kilograms,kilograms
8,2017,161.64,600314,MAK_cut,gas_oil,kilograms,kilograms
10,2017,265.40,670916,MAK_cut,gas_oil,kilograms,kilograms
11,2017,51.49,231396,MAK_cut,gas_oil,kilograms,kilograms
12,2017,206.88,241934,MAK_cut,gas_oil,kilograms,kilograms
1,2018,203.71,603804,MAK_cut,gas_oil,kilograms,kilograms
2,2018,200.75,960468,MAK_cut,gas_oil,kilograms,kilograms
3,2018,206.77,924106,MAK_cut,gas_oil,kilograms,kilograms
4,2018,361.20,959587,MAK_cut,gas_oil,kilograms,kilograms
5,2018,201.01,712755,MAK_cut,gas_oil,kilograms,kilograms
6,2018,150.45,669412,MAK_cut,gas_oil,kilograms,kilograms
